image,cell_count,confluency_percent,mean_area_px,mean_circularity,mean_eccentricity,mean_perimeter_px
EXP_path1_passage4_209.png,321,7.238165537516276,709.3239875389409,0.7318828258439888,0.7693354663625552,110.05169231074511
EXP_path1_passage4_210.png,25,0.668780008951823,841.52,0.8332763972898263,0.6226752502655479,108.98153672641493
EXP_path1_passage4_301.png,763,17.943032582600914,739.7627785058978,0.7043803992641086,0.7893203323195752,115.0044292607895
EXP_path1_passage4_302.png,92,2.974192301432292,1016.9565217391304,0.778113005346249,0.7377604769463122,123.23231492099455
EXP_path1_passage4_303.png,576,12.934048970540365,706.3715277777778,0.7198152092922641,0.7751549068929413,111.37990663625338
EXP_path1_passage4_304.png,47,1.411310831705729,944.5957446808511,0.7491586262218477,0.7341863363051006,124.5917425756817
EXP_path1_passage4_305.png,614,14.222113291422525,728.6465798045602,0.7200874549913849,0.7845256074408954,112.65349544715505
EXP_path1_passage4_306.png,88,2.793407440185547,998.5568181818181,0.7738052769860938,0.7050463516710038,126.27714966651902
EXP_path1_passage4_307.png,738,17.749595642089844,756.5772357723578,0.7070240100320074,0.7875713811943269,115.96830429322854
EXP_path1_passage4_308.png,47,1.2550989786783853,840.0425531914893,0.7498871312797435,0.7164956875804855,118.4387667706076
EXP_path1_passage4_309.png,479,11.496448516845703,755.0041753653445,0.7155868532060685,0.7822796148395323,115.08397974816542
EXP_path1_passage4_310.png,51,1.5541712443033853,958.6274509803922,0.7995993080946662,0.7176603766487204,121.37214645723405
EXP_path1_passage4_401.png,944,21.892738342285156,729.5402542372881,0.7006805581542548,0.8004667357251891,114.43565154112585
EXP_path1_passage4_402.png,110,3.5354296366373696,1011.0454545454545,0.7365676060092867,0.7488694695249706,130.56791707399597
EXP_path1_passage4_403.png,769,17.291386922200523,707.334200260078,0.7012121479898078,0.7995894377395948,111.973237881734
EXP_path1_passage4_404.png,118,3.872076670328776,1032.2457627118645,0.7711667999536604,0.7137238170596958,128.79786537621467
EXP_path1_passage4_405.png,536,11.922518412272137,699.7201492537314,0.7187354642639313,0.8005838721680671,110.4756937020761
EXP_path1_passage4_406.png,116,3.654003143310547,990.9051724137931,0.7673913281122375,0.7425202021174495,124.16328300123615
EXP_path1_passage4_407.png,590,12.524191538492838,667.7576271186441,0.7201056443863955,0.7904760590013099,108.0655526739517
EXP_path1_passage4_408.png,182,5.776945749918619,998.5,0.7605557909016429,0.7419524487194266,128.44187986646287
EXP_path1_passage4_409.png,524,11.99175516764323,719.9007633587786,0.6881890733667246,0.8049354558500066,114.16419270026526
EXP_path1_passage4_410.png,115,3.8345019022623696,1048.895652173913,0.7673494274226949,0.7357083679407672,128.37537666894667
EXP_path1_passage4_501.png,721,15.977923075358072,697.117891816921,0.6973087389016998,0.8033569846096359,112.8490280544811
EXP_path1_passage4_502.png,135,4.157352447509766,968.7333333333333,0.7386641259606135,0.7327095644395738,128.19715026128213
EXP_path1_passage4_503.png,698,14.908695220947266,671.9011461318051,0.70416993469339,0.7945095420796446,109.67936749015819
EXP_path1_passage4_504.png,152,4.6774228413899746,968.0197368421053,0.7645619667393917,0.7399111310341059,125.02953066110858
EXP_path1_passage4_505.png,358,8.134396870930988,714.7653631284916,0.6827713732448256,0.8259309405800824,114.46849130537915
EXP_path1_passage4_506.png,103,3.330071767171224,1017.0388349514564,0.7309623466215327,0.775890238758847,132.55338501578555
EXP_path1_passage4_507.png,513,12.181027730305988,746.9434697855751,0.6740840012337951,0.8221398286522782,118.83410131142979
EXP_path1_passage4_508.png,95,3.114096323649089,1031.1684210526316,0.7548743688374746,0.7396451182097782,127.2281323720985
EXP_path1_passage4_509.png,452,10.046100616455078,699.1659292035398,0.6832721770086685,0.8164403747515064,114.47270221803576
EXP_path1_passage4_510.png,130,4.4218381245930996,1069.9923076923078,0.7463839363170337,0.7292802288128623,132.28221076234985
EXP_path2_passage4_101.png,266,7.518100738525391,889.093984962406,0.6750698565011142,0.7929059586209393,130.87244089626856
EXP_path2_passage4_102.png,27,0.956567128499349,1114.4814814814815,0.8555749550237728,0.5433044419087503,122.45438638010309
EXP_path2_passage4_103.png,221,5.20788828531901,741.2941176470588,0.6982331408458765,0.786296343701972,117.38694957928597
EXP_path2_passage4_104.png,21,0.7907231648763021,1184.4761904761904,0.7428579257835682,0.6695208909166542,138.74050530805675
EXP_path2_passage4_105.png,309,8.172766367594402,832.0161812297735,0.6826193422096066,0.7925244206335016,125.82329050045962
EXP_path2_passage4_106.png,44,1.5338579813639321,1096.6136363636363,0.7403351316533844,0.7170798489713691,137.03746629266482
EXP_path2_passage4_107.png,187,4.606596628824869,774.9251336898395,0.688534710343933,0.7598875300699578,121.78402138253865
EXP_path2_passage4_108.png,37,1.478703816731771,1257.1891891891892,0.735854158589943,0.7438073154706111,144.47942543794926
EXP_path2_passage4_109.png,144,3.2315572102864585,705.9444444444445,0.6986565563945266,0.7497324990594859,115.58370027383732
EXP_path2_passage4_110.png,16,0.7650375366210938,1504.125,0.803217144658338,0.6158420280674833,154.7210857587404
EXP_path2_passage4_201.png,256,6.3208262125651045,776.703125,0.7004706349975247,0.784742600037321,118.62710087286428
EXP_path2_passage4_202.png,35,1.4454205830891929,1299.1142857142856,0.7619039814637182,0.6985286186510369,143.35006896598162
EXP_path2_passage4_203.png,279,7.6623280843098955,863.9283154121864,0.6765901661581929,0.792433077419335,127.86956474236412
EXP_path2_passage4_204.png,48,1.7014185587565105,1115.0416666666667,0.7520922531058517,0.6708605053315074,137.2095349959529
EXP_path2_passage4_205.png,195,5.545934041341146,894.6666666666666,0.716172206501438,0.7451842205807703,127.20499825506535
EXP_path2_passage4_206.png,26,1.1161168416341147,1350.3846153846155,0.7509012278191978,0.703874358493904,150.3804555633614
EXP_path2_passage4_207.png,205,5.083370208740234,780.0439024390244,0.7063593539677491,0.7771965682574491,118.09874416387451
EXP_path2_passage4_208.png,33,1.2585004170735679,1199.6666666666667,0.7405992042995874,0.6880046008298145,143.024998815686
EXP_path2_passage4_209.png,193,4.958279927571615,808.1554404145078,0.7104988590688949,0.777364426536233,119.46900847744185
EXP_path2_passage4_210.png,26,1.0457356770833335,1265.2307692307693,0.8025239344670282,0.6788799448649641,137.2952921227413
EXP_path2_passage4_212.png,14,0.35587946573893225,799.6428571428571,0.8753371292981983,0.5354771240350223,102.86984635702949
EXP_path2_passage4_213.png,20,0.8660634358723959,1362.2,0.7734901572091892,0.6678887072231877,144.21626073623884
EXP_path2_passage4_301.png,366,8.813063303629558,757.4726775956284,0.6951930940852172,0.7821673810966605,116.80758997587641
EXP_path2_passage4_302.png,33,1.0798454284667969,1029.3636363636363,0.7641560383883931,0.7013245278057791,126.88452591588498
EXP_path2_passage4_303.png,197,4.245122273763021,677.8680203045685,0.7090779924880916,0.7813656451913432,109.74132141105699
EXP_path2_passage4_304.png,49,1.5037218729654946,965.3673469387755,0.7692696738869305,0.699784096785572,122.54222980346778
EXP_path2_passage4_306.png,46,1.7084121704101562,1168.304347826087,0.7767872279162134,0.6913421217366057,133.2544857686906
EXP_path2_passage4_307.png,115,2.791849772135417,763.6869565217391,0.7184191213681336,0.7363057432688612,117.07817798200392
