path,id,model1_infected,model1_class,model1_probs,model2_infected,model2_class,model2_probs,model3_infected,model3_class,model3_probs
1,203,0.9999817609786987,1,"[1.821883415686898e-05, 0.9999817609786987]",1.0,1,"[3.045954044544885e-10, 1.0]",0.9995003938674927,1,"[0.0004996224888600409, 0.9995003938674927]"
1,204,0.9990183115005493,1,"[0.0009816201636567712, 0.9990183115005493]",0.9999958276748657,1,"[4.181365056865616e-06, 0.9999958276748657]",0.12408819049596786,0,"[0.8759117722511292, 0.12408819049596786]"
1,205,0.9999983310699463,1,"[1.6690485153958434e-06, 0.9999983310699463]",0.9999997615814209,1,"[2.91804639118709e-07, 0.9999997615814209]",0.9974921941757202,1,"[0.002507803961634636, 0.9974921941757202]"
1,206,0.9999994039535522,1,"[5.463695629259746e-07, 0.9999994039535522]",1.0,1,"[1.972079211043365e-08, 1.0]",0.9183358550071716,1,"[0.08166414499282837, 0.9183358550071716]"
1,207,0.9999909400939941,1,"[9.114015483646654e-06, 0.9999909400939941]",1.0,1,"[2.4537574194738454e-09, 1.0]",0.9998618364334106,1,"[0.0001380950416205451, 0.9998618364334106]"
1,208,0.9996222257614136,1,"[0.00037770954077132046, 0.9996222257614136]",1.0,1,"[1.9933818151685045e-08, 1.0]",0.026530930772423744,0,"[0.973469078540802, 0.026530930772423744]"
1,209,0.9999921321868896,1,"[7.866716259741224e-06, 0.9999921321868896]",0.999997615814209,1,"[2.3613245048181852e-06, 0.999997615814209]",0.9984539747238159,1,"[0.0015460654394701123, 0.9984539747238159]"
1,210,0.9995477795600891,1,"[0.00045219770981930196, 0.9995477795600891]",1.0,1,"[2.8431541565510088e-08, 1.0]",0.12453402578830719,0,"[0.8754659295082092, 0.12453402578830719]"
1,301,1.0,1,"[2.5550541682406447e-09, 1.0]",0.9999991655349731,1,"[8.78904586443241e-07, 0.9999991655349731]",1.0,1,"[2.533073084620696e-09, 1.0]"
1,302,0.9997617602348328,1,"[0.00023823168885428458, 0.9997617602348328]",1.0,1,"[6.345359793158423e-10, 1.0]",0.9996883869171143,1,"[0.0003115996951237321, 0.9996883869171143]"
1,303,0.9999996423721313,1,"[3.7364364402492356e-07, 0.9999996423721313]",0.9999998807907104,1,"[1.6687640425061545e-07, 0.9999998807907104]",0.9999998807907104,1,"[9.774445430821288e-08, 0.9999998807907104]"
1,304,0.999337375164032,1,"[0.0006625516107305884, 0.999337375164032]",1.0,1,"[1.7362919990659975e-08, 1.0]",0.9997770190238953,1,"[0.00022300879936665297, 0.9997770190238953]"
